Type,Treat,Rep,Time,NSE_Lin_Flux,Lin_FluxCV,Exp_Flux,Exp_FluxCV,Exp_dCdry/dt,Dark_Lin_Flux,Dark_Lin_FluxCV,Dark_Exp_Flux,Dark_Exp_FluxCV,Dark_Exp_dCdry/dt,GPP_light_dark,GPP_positive
moss,10,3,5,1.66515,1.25155,1.78839,1.24303,0.678785,3.21753,1.25842,3.64141,1.23748,0.850853,-1.55238,1.55238
cyano,1.8,1,6,1.22516,1.25145,1.22516,1.25145,0.602209,2.12939,1.25344,2.29017,1.24572,0.627356,-0.90423,0.90423
cyano,1.8,2,6,1.14665,1.27666,1.27804,1.25581,0.486703,1.92641,1.27125,2.17576,1.24875,0.509713,-0.77976,0.77976
cyano,1.8,3,6,1.31809,1.26086,1.40126,1.25444,0.690907,2.15734,1.25821,2.38098,1.24537,0.653669,-0.83925,0.83925
cyano,2.7,1,6,1.04464,1.24951,1.127,1.24168,0.552315,2.12549,1.2711,2.3255,1.25814,0.634766,-1.08085,1.08085
cyano,2.7,2,6,1.25481,1.28657,1.51321,1.23769,0.738051,2.13915,1.25396,2.30116,1.24562,0.623569,-0.88434,0.88434
cyano,2.7,3,6,1.23789,1.28597,1.48606,1.24659,0.739315,2.38397,1.25279,2.58648,1.24347,0.713387,-1.14608,1.14608
cyano,5.4,1,6,1.4419,1.26878,1.63649,1.24283,0.621308,2.19925,1.27318,2.47135,1.25164,0.576724,-0.75735,0.75735
cyano,5.4,2,6,1.02112,1.25557,1.12634,1.24259,0.555031,1.95272,1.27189,2.20097,1.25104,0.603589,-0.9316,0.9316
cyano,5.4,3,6,1.37243,1.26658,1.55361,1.24437,0.765163,2.32052,1.24961,2.57332,1.23701,0.70491,-0.94809,0.94809
cyano,7.7,1,6,0.966676,1.27881,1.03155,1.2693,0.391238,1.4202,1.30048,1.52199,1.28764,0.35558,-0.453524,0.453524
cyano,7.7,2,6,1.1639,1.2447,1.20026,1.24295,0.594249,2.50154,1.24852,2.50154,1.24852,0.69369,-1.33764,1.33764
cyano,7.7,3,6,1.21866,1.27526,1.32592,1.26179,0.516242,2.05403,1.27012,2.23898,1.25795,0.534477,-0.83537,0.83537
cyano,10,1,6,1.34932,1.27122,1.50017,1.25304,0.732353,2.54219,1.24679,2.70643,1.24138,0.7383,-1.19287,1.19287
cyano,10,2,6,0.7709,1.30462,0.7709,1.30462,0.292745,1.42637,1.27396,1.52008,1.26542,0.355239,-0.65547,0.65547
cyano,10,3,6,1.36105,1.27013,1.51901,1.25218,0.749723,2.48734,1.24986,2.70444,1.24094,0.742393,-1.12629,1.12629
moss,1.8,1,6,1.35026,1.25188,1.45433,1.24308,0.70718,2.21438,1.24264,2.33823,1.23811,0.632202,-0.86412,0.86412
moss,1.8,2,6,0.833639,1.28098,0.881631,1.27286,0.342328,1.4323,1.26175,1.54321,1.25216,0.594646,-0.598661,0.598661
moss,1.8,3,6,1.79157,1.24592,1.90805,1.24091,0.950795,2.80637,1.25098,3.06605,1.24155,0.849699,-1.0148,1.0148
moss,2.7,1,6,1.76989,1.27076,1.76989,1.27078,0.877878,3.43055,1.25425,3.96484,1.23134,1.093,-1.66066,1.66066
moss,2.7,2,6,1.23359,1.26868,1.38316,1.24979,0.679032,2.46731,1.2569,2.8248,1.23514,0.772769,-1.23372,1.23372
moss,2.7,3,6,1.74236,1.24612,1.91677,1.2349,0.945853,2.82095,1.2377,2.93259,1.23552,0.804684,-1.07859,1.07859
moss,5.4,1,6,1.73813,1.29115,2.08163,1.24423,0.78886,2.80442,1.25287,3.0164,1.24505,0.70352,-1.06629,1.06629
moss,5.4,2,6,1.67437,1.25651,1.87088,1.2409,0.934328,3.62469,1.2436,3.97638,1.23435,1.10197,-1.95032,1.95032
moss,5.4,3,6,2.36187,1.25619,2.61058,1.24139,1.0187,2.64218,1.26065,2.91008,1.24673,1.1223,-0.28031,0.28031
moss,7.7,1,6,2.49078,1.24217,2.77807,1.22876,1.36583,4.74086,1.26427,5.6276,1.2293,1.54225,-2.25008,2.25008
moss,7.7,2,6,1.45169,1.26398,1.63739,1.24355,0.806746,3.1542,1.24561,3.49195,1.23356,0.953788,-1.70251,1.70251
moss,7.7,3,6,2.29489,1.25487,2.65267,1.2337,1.31067,4.04908,1.25014,4.504,1.23657,1.23874,-1.75419,1.75419
moss,10,1,6,1.97524,1.23574,2.10029,1.23128,1.04322,3.65124,1.23313,3.84356,1.23015,1.06103,-1.676,1.676
moss,10,2,6,2.71682,1.23646,2.8917,1.23213,1.43465,4.2449,1.24652,4.73731,1.23337,1.30352,-1.52808,1.52808
moss,10,3,6,1.95261,1.25385,2.16705,1.23734,0.823598,3.71111,1.26179,4.23062,1.23703,0.990401,-1.7585,1.7585
cyano,1.8,1,7,1.29803,1.24718,1.43778,1.23526,0.708298,2.1842,1.25614,2.37757,1.24606,0.652195,-0.88617,0.88617
cyano,1.8,3,7,2.07292,1.27469,2.3919,1.24819,0.660794,2.12394,1.25587,2.38579,1.24048,0.655215,-0.05102,0.05102
cyano,2.7,1,7,0.987283,1.2605,1.0053,1.25892,0.494907,2.06389,1.25641,2.29814,1.24254,0.627745,-1.076607,1.076607
cyano,2.7,2,7,1.2055,1.26517,1.38056,1.24036,0.67539,2.1453,1.2522,2.25351,1.24738,0.610354,-0.9398,0.9398
cyano,2.7,3,7,1.18025,1.31922,1.40407,1.26566,0.698098,2.37351,1.24545,2.57597,1.23707,0.710741,-1.19326,1.19326
cyano,5.4,1,7,1.50853,1.24616,1.61742,1.23879,0.616789,2.56373,1.27077,2.97473,1.24218,0.695272,-1.0552,1.0552
cyano,5.4,2,7,1.05147,1.25076,1.13464,1.24312,0.559869,2.07833,1.2753,2.39515,1.24764,0.657422,-1.02686,1.02686
cyano,5.4,3,7,1.44217,1.23671,1.48876,1.23514,0.735219,2.56298,1.25026,2.82319,1.23864,0.77405,-1.12081,1.12081
cyano,7.7,1,7,0.82283,1.27158,0.882806,1.26158,0.334916,1.30609,1.2904,1.30873,1.29017,0.305317,-0.48326,0.48326
cyano,7.7,2,7,1.10164,1.27957,1.18661,1.26791,0.592398,2.56653,1.25032,2.67951,1.24712,0.743549,-1.46489,1.46489
cyano,7.7,3,7,1.18602,1.27086,1.31873,1.25381,0.515324,2.24348,1.27375,2.56122,1.24943,0.61193,-1.05746,1.05746
cyano,10,1,7,1.2797,1.26555,1.28336,1.26531,0.631593,2.70689,1.26003,2.94125,1.24978,0.80192,-1.42719,1.42719
cyano,10,2,7,0.600948,1.62115,0.855371,1.32036,0.325292,1.41086,1.29984,1.53406,1.28339,0.358179,-0.809912,0.809912
cyano,10,3,7,1.35821,1.24629,1.44209,1.24114,0.712918,2.60261,1.25663,2.88353,1.24302,0.79268,-1.2444,1.2444
moss,1.8,1,7,1.42675,1.23816,1.48924,1.23512,0.72504,2.15925,1.25261,2.397,1.23847,0.648457,-0.7325,0.7325
moss,1.8,2,7,1.04167,1.28097,1.09295,1.27437,0.425037,2.22309,1.2764,2.47298,1.25726,0.591126,-1.18142,1.18142
moss,1.8,3,7,1.75053,1.24396,1.8196,1.24176,0.907554,2.59645,1.2567,2.81865,1.24792,0.780871,-0.84592,0.84592
moss,2.7,1,7,1.83524,1.24694,2.05219,1.23262,1.01939,3.32663,1.25018,3.81556,1.23024,1.05501,-1.49139,1.49139
moss,2.7,2,7,1.19714,1.27213,1.35568,1.25038,0.665343,2.71156,1.26591,3.09376,1.24383,0.846445,-1.51442,1.51442
moss,2.7,3,7,1.8365,1.24393,1.96073,1.23777,0.969564,3.0938,1.23512,3.25735,1.23203,0.89451,-1.2573,1.2573
moss,5.4,1,7,1.35872,1.31396,1.35872,1.31396,0.515507,2.95222,1.25537,3.16874,1.2473,0.738854,-1.5935,1.5935
moss,5.4,2,7,1.55843,1.25523,1.68715,1.24586,0.842683,3.61004,1.24758,3.86103,1.24181,1.0694,-2.05161,2.05161
moss,5.4,3,7,2.18591,1.25473,2.39353,1.24263,0.929272,4.43805,1.25462,4.84131,1.24359,1.1585,-2.25214,2.25214
moss,7.7,1,7,2.48928,1.24712,2.8282,1.22911,1.39349,4.83512,1.25819,5.69569,1.2305,1.56214,-2.34584,2.34584
